id,date_start_id,date_end_id,location_id,source,shortname,title
BFEB2DDB0FD54AC9BC040053A5514A92_REDUCED,0,0,0.0,lts,1000-Stufen-Schlucht im Vinschgau,"Venosta: La ""valle dei 1000 gradini"""
982011E3BE704D22A84F7C2EB40CA8BE_REDUCED,1,86,1.0,lts,100 Jahre Musikkapelle Kortsch Jubiläumsfest,100 anni banda musicale di corzes
429F65276B0144FCB4ADC354A29C1435_REDUCED,2,2,2.0,lts,100-Jahr Jubiläum der Musikkapelle Steinhaus,100 anni banda musicale di Cadipietra - festa
10CF80CE69EC42349E4F0B89191F5944_REDUCED,3,3,3.0,lts,100-Jahr Jubiläum der Musikkapelle Steinhaus,100 anni banda musicale di Cadipietra - festa
9D4618A013144230B8CFF19943335180_REDUCED,4,4,4.0,lts,10. Barbianer Zwetschkenmeile,10. Miglio delle prugne a Barbiano
AA5913F663A349DB9A5D1C5D845ABB41_REDUCED,5,5,5.0,lts,10. Dynafit Vinschgau Cup am Watles,10. Dynafit Vinschgau Cup al Watles
979C639FBE914DA193ADE782EC1993AF_REDUCED,6,6,6.0,lts,10 Jahre Vespa Club Gröden - 3. Vespatreffen,10 anni Vespa Club Val Gardena - 3° incontro di vespe
48BA6D4F3DF3456E9F05B9A0AD3A4E17_REDUCED,7,7,7.0,lts,"10. Skitourenrennen ""Carezza Trophy""","10° gara sci d'alpinismo ""Carezza Trophy"""
AA576809E4ED4879B2C7E1108B2799F6_REDUCED,8,8,8.0,lts,10. Vinschger Gebietsschau aller Schafrassen,
98ACF86788904DD19E36408BDA8565CE_REDUCED,9,87,9.0,lts,11. Eggentaler Herbst Classic,11. Eggentaler Herbst Classic
14A326D2E07D44A6927A5DBFC6EF487A_REDUCED,10,37,10.0,lts,11. Jäger-Ski-WM 2023 - Skigebiet Reinswald,11° Campionato del Mondo dei cacciatori 2023 - Area Sciistica di Reinswald
BFF16EC65D344F66BC1AB47D20347D74_REDUCED,11,88,11.0,lts,"11. Yoga-Meeting ""Merano in Yoga""","11a edizione di ""Merano in Yoga"""
519ED83348524507A0705F2D78EECA4D_REDUCED,12,12,12.0,lts,124. Haflinger-Galopprennen mit Festumzug,124a edizione delle Corse tradizionali dei cavalli Haflinger
09519E10267D4CD2B84A14649B43DEFE_REDUCED,2,3,13.0,lts,125 Jahre Musikkapelle Tschars Jubiläumsfest,
AED86EEC2DE04B51BCE05EF88655BE06_REDUCED,13,13,14.0,lts,126. Traditionelles Haflinger Galopprennen mit Umzug,126a edizione Corse tradizionali dei cavalli Haflinger e sfilata
D368218BBEC44A4899D591EB8C1F4B2E_REDUCED,14,89,15.0,lts,"12. ""Niederdorfer Kartoffelfest""  - das Original","12a ""Sagra della Patata"" a Villabassa - l'originale"
52022A2764A14DACBE110F9DBBFDF652_REDUCED,15,89,16.0,lts,"12. ""Niederdorfer Kartoffelwoche""","12a ""Settimana della Patata"" a Villabassa"
58D50203223242D69E56AAA8D60D7907_REDUCED,16,16,17.0,lts,12. Ratschinger Almenfest - im Rahmen Joghurttage,12° Festa delle Malghe di Racines - in occasione della gornate dello Yogurt
A43672BA582F4DE39892D1DFF1BD5CA3_REDUCED,17,90,18.0,lts,14. Bosch Vino Miglia - Internationale Weinstraßen-Rallye (17.-24.06.2023),14ª Vino Miglia - Raduno auto d'epoca (17-24.06.2023)
97A79DF04C6D4B619DB06D30C6C7706A_REDUCED,18,18,19.0,lts,14. Südtirol Moonlight Classic Seiser Alm,14° Alto Adige Moonlight Classic Alpe di Siusi
5771E303F5274496B46EAF8CB884CFF8_REDUCED,19,91,20.0,lts,14. Weihnachtsmarkt in Schlanders,14. Mercatino di natale a Silandro
79E15A28CB9140A0A75FC6E2C91DA856_REDUCED,20,20,21.0,lts,15. Gigantissimo,15. Gigantissimo
1828240CCD2749DF91378E4C20387410_REDUCED,21,21,22.0,lts,15. Krampus- und Perchtentreffen mit großem Umzug und anschließender Party,"15° incontro dei Krampus con sfilata grande, in seguito grande festa"
7DF90E086FDB45D7BC8F9B13649DD535_REDUCED,22,22,23.0,lts,15. Ötzi-Alpin-Marathon,15° Ötzi-Alpin-Marathon: dai fiori al ghiaccio!
9C02C316D0B544D3AC688DF630180301_REDUCED,23,23,24.0,lts,15. Südtirol Moonlight Classic Seiser Alm,15° Alto ADdige Moonlight Classic Alpe di Siusi
DAB33CB770284CBEB8F6267745675C54_REDUCED,24,92,25.0,lts,16. Innichner Marktlfest,16° San Candido in Festa
869210265E39467E907D13638282B137_REDUCED,25,93,26.0,lts,16. Köfelefest mit Rudy Giovannini,16° Köfelefest con Rudy Giovannini
7385DB3409EF4B7EB193436FE2A6B0C9_REDUCED,26,26,27.0,lts,16. Orgelmai Meran - Max Reger Festival 2022,16. Orgelmai Meran - Max Reger Festival 2022
B229DB255F034E8C938286E0450D0E55_REDUCED,27,27,28.0,lts,16. Orgelmai Meran - Max Reger Festival 2022,16. Orgelmai Meran - Max Reger Festival 2022
651C076BBD444889A52966B2BC1F17D2_REDUCED,28,28,29.0,lts,16. Orgelmai Meran - Max Reger Festival 2022,16. Orgelmai Meran - Max Reger Festival 2022
196709EEAACE424D893F3854F7C08170_REDUCED,29,29,30.0,lts,16. Orgelmai Meran - Max Reger Festival 2022,16. Orgelmai Meran - Max Reger Festival 2022
1398CC33711A4EA59A648EA1AFE5A6E2_REDUCED,30,30,29.0,lts,16. Orgelmai Meran - Max Reger Festival 2022,16. Orgelmai Meran - Max Reger Festival 2022
6A2D2E21FC294469B9CC3513CC3A349D_REDUCED,5,5,31.0,lts,16. Südtiroler Berglandwirtschaftstagung: Boden und Bodenfruchtbarkeit,16a Conferenza sull'agricoltura di montagna in Alto Adige: Suolo e fertilità del
C559FF26F59044718F20ACCE382692DD_REDUCED,31,31,32.0,lts,17. Barbianer Herbstfescht,17. festa autunnale a Barbiano
D977AFF22DA8463095BEB4E58C593CB3_REDUCED,32,94,33.0,lts,17. Internationales Citroën-Treffen,17° Raduno internazionale Citroën Classic Merano
CF5783A3C8BB4CA082CE582DDB509D7B_REDUCED,33,33,34.0,lts,17. Königliches Festival - Fest der Königinnen und Prinzessinnen,17° Festival Reale - Festa delle regine e principesse
E16F3A19FD2141C6869F96BC36E97E0C_REDUCED,34,95,35.0,lts,17. Plastische Assistentenwoche,17° settimana degli assistenti di plastica
1CA91191F53D4E449EC519365D4134E9_REDUCED,35,96,36.0,lts,18. Rieslingtage Naturns 2023,18. giornate del Riesling Naturno 2023
CF8CC02DDD134E92BC7E5B71367B4836_REDUCED,11,11,37.0,lts,1. Finnentest,
FA4563467A3E4026A6EAC8CCFBAC375F_REDUCED,36,36,38.0,lts,1. Gaudi - Kegeln,1° evento di bowling
0BBFE08084A24852943E9C9DF8B16384_REDUCED,37,37,39.0,lts,1. Kaltererseelauf - der Lauf um den Kalterer See in einem neuen Rennformat,1° Lago di Caldaro Run - la Mezza Maratona di Caldaro in un nuovo formato
F6377485056A44C395CD3EDF92CFC7A7_REDUCED,36,36,40.0,lts,1. Maibaumfest in St. Leonhard,1a Festa del cuccagna a S. Leonardo
B8775241F7E5464E9CA06DCF527C600D_REDUCED,36,36,41.0,lts,1. Maifest,Festa del 1° maggio
AFC8F8AA9CEB4B61882642579FFE3751_REDUCED,36,36,42.0,lts,1.Mai Konzert der Musikkapelle Kastelbell,Concerto del 1°maggio della banda musicale di Castelbello
C2646A3C489F451BB1827EB8BD82930D_REDUCED,29,29,43.0,lts,1. Sexta Pressknödel Weltmeisterschaft,1° Campionato mondiale dei canderli pressati
62E17ACE05794791A03BE16D8001AE92_REDUCED,38,97,44.0,lts,2023 IIHF Ice Hockey U18 Women’s World Championship,2023 IIHF Ice Hockey U18 Women’s World Championship
62F124A8359D4E8AB80ED1E0D63451AD_REDUCED,7,98,35.0,lts,20. Arthroskopie-& Diagnostik-Kurs,20° Corso di artroscopia e diagnostica
E8477B56849E49F49BE6CA5A727E6686_REDUCED,39,99,45.0,lts,21. Feldthurner Keschtnigl-Wochen,21. Settimane della castagna a Velturno
B12A8C2FEA474B86A17F1364F8CDC7A4_REDUCED,40,40,46.0,lts,22. Internationales Brassfestival von Meran - Black Dyke Band,22° Festival internazionale per ottoni di Merano - Black Dyke Band
A6C9F473421B4C9E99673AF722AA8179_REDUCED,41,41,46.0,lts,22. Internationales Brassfestival von Meran - Salaputia Brass,22° Festival internazionale per ottoni di Merano - Salaputia Brass
3393DE15BDF1470DA524B6022D586FC5_REDUCED,42,42,47.0,lts,22. Jägerbiathlon Ridnaun,22a Gara di biathlon per i cacciatori
291E62FC123B4129A28D984DC86AD53A_REDUCED,43,100,57.0,lts,23. Alta Pusteria Int. Choir Festival,23° Alta Pusteria Int. Choir Festival
8C49FC24C9FA4C73BD718ED2D4287142_REDUCED,44,44,49.0,lts,23. Cortina Dobbiaco Run,23^ Cortina Dobbiaco Run
1925E2856AB04EB1BAB056985A3DCE9D_REDUCED,45,45,50.0,lts,23. Reschenseelauf,23° Giro Lago di Resia
FA6E279C066A4DD195D4DA70BFA4BFE5_REDUCED,46,37,51.0,lts,23. Südtiroler Mineralientage,23. Giornate di minerali
2A42D83F699E48EEBC23BD1C147B541E_REDUCED,47,47,52.0,lts,24. Apfelfest,24° Festa delle Mele
C2249A586AB74EF986DCAFA6D6CFCA17_REDUCED,48,48,53.0,lts,24. Drei Zinnen Skiraid - Skitourenrennen,24esimo Skiraid Tre Cime - Gara di sci alpinismo
9643BAE409044EAE9213EFF15E47FA46_REDUCED,49,101,54.0,lts,24h Trophy – 360° Wandern am Reschensee,
5A0CBCD2F1EA4B4EB54B14F21E30FE2C_REDUCED,32,102,55.0,lts,24 h Trophy Carezza - im Rosengarten der Dolomiten,24 h Trophy Carezza - nel roseto (Catinaccio) delle Dolomiti
54C80906821A4750BED5189AD22FAA83_REDUCED,50,34,56.0,lts,24. Landesausstellung der Südtiroler Freizeitmaler,24° Mostra Provinciale
4D08C0FE53A34D258BA0B8558A4C412F_REDUCED,51,103,57.0,lts,25. Alta Pusteria Int. Choir Festival - Abendkonzert,25. Alta Pusteria Int. Choir Festival - Rassegna serale
251F2907CC444A34A2473F56C35EA526_REDUCED,52,52,57.0,lts,25. Alta Pusteria Int. Choir Festival - Eröffnungskonzert,25. Alta Pusteria Int. Choir Festival - Concerto di Apertura
1A380856098A400D997DA34698B82529_REDUCED,53,53,58.0,lts,25. Grand Prix von Meran im Tanzsport,25° Grand Prix di Merano - Danza sportiva
CAF3DF13C7E14D15B7521FB8B93668AA_REDUCED,1,1,59.0,lts,25-Jahr-Feier der Schenner Böhmischen auf dem Raiffeisenplatz,Festa del 25° anniversario del gruppo “Schenner Böhmische” a Scena
8A27C802855B11D7A2A6006008C7C6AD_REDUCED,54,92,60.0,lts,25. Sarnar Morgreti Essn,25° Settimana gastronomica S. Marghereta
CB9A0CA02E08447BAA83E2FDCFB2A7D6_REDUCED,55,55,61.0,lts,25. Südtirol Gardenissima: der längste Riesentorlauf der Welt,25° Südtirol Gardenissima: lo slalom gigante più lungo del Mondo
2DB1C8AD12AF48DC9927A63E7713AFF7_REDUCED,56,29,62.0,lts,26. Alpenregionstreffen im Passeiertal,26° Alpenregionstreffen nella Val Passiria
6474D12DEAB54E7BAF227F703181438F_REDUCED,52,104,63.0,lts,26. Alta Pusteria International Choir Festival,26° Alta Pusteria International Choir Festival
3A8DA1FABDE840A2B049FD7DA9CA2A20_REDUCED,57,57,64.0,lts,26. Sellaronda Skimarathon,26° Sellaronda Skimarathon
059D62BB7F474DAD8A58F0D88A522AF6_REDUCED,58,58,65.0,lts,26. Südtirol Dolomiti Superbike,XXVIa edizione Südtirol Dolomiti Superbike
F23CE06A89554CCEB430658217AE35BC_REDUCED,59,59,66.0,lts,26. Südtirol Drei Zinnen Alpine Run,26° Südtirol Drei Zinnen Alpine Run
28CCE74E2C604BD0804603ADC79B61BA_REDUCED,60,60,67.0,lts,"29. Half Marathon Meran-Algund und Meraner ""Run4Fun""-Volkslauf","29a Half Marathon Merano-Lagundo e corsa popolare ""Run4Fun"""
BCFB0CE115AA4FE19FA841D9E6FBF0B8_REDUCED,61,61,68.0,lts,29.Totenabfahrt 2022,29.Totenabfahrt 2022
AC83F44F670047E4989C18A02E5DC239_REDUCED,36,36,69.0,lts,2. Heli-Day und Tag der offenen Tür,2° Heli-Day e giorno di porte aperte
60C98E78C5D246279F1D93035413F058_REDUCED,20,20,70.0,lts,2. Jugendrennen - Naturbahnrodeln,2° Gara giovanile - Pista di slittino naturale
56A8C0E6DDB248C981F0552DE9922A2E_REDUCED,62,62,71.0,lts,2. Kortscher Dorfdinner,
C347E317992F4BA990500266745BF6D0_REDUCED,6,6,72.0,lts,2. Widumacker Kirchtag,Festa Widumacker
6BA3A0F6EC594BA2804E8B8835985202_REDUCED,63,63,73.0,lts,30° MARATONA DLES DOLOMITES 2016,30. MARATONA DLES DOLOMITES 2016
CD0943024B3D4FFAB0B7A79F655D7611_REDUCED,64,105,74.0,lts,32. Dolomites Snow Festival,32° Dolomites Snow Festival
094C150078AA4C39827AE964F4E1A1F8_REDUCED,65,106,58.0,lts,32. Meran WineFestival,32° Merano WineFestival
9719F2FE40A24A918CCA93B02331F744_REDUCED,66,66,75.0,lts,33. Internationaler Kalterer See Triathlon,33a edizione Triathlon internazionale Lago di Caldaro
2804BB4E391C4C1CAAC1ACBC3E9572D3_REDUCED,67,107,76.0,lts,33. Kulinarische Wochen in Jenesien,33. Settimane culinarie a San Genesio
3B74FC59B76842299F1B7C0C6501D501_REDUCED,68,68,77.0,lts,33. Ski Alpin Europacup der Herren,33esima Coppa Europa Slalom
980B5B21ECAD48949E9946172218DB64_REDUCED,69,69,78.0,lts,34. Internationaler Kalterer See Triathlon,34a edizione Triathlon internazionale Lago di Caldaro
812E1064372E4E18A3EB2036E0C94C5B_REDUCED,70,70,80.0,lts,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic
B6DEEEDBC34A4C1795C7716E1344B4A9_REDUCED,71,71,80.0,lts,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic
469ECB6B7F04430AAF6169D861E4729B_REDUCED,72,108,81.0,lts,37. Südtirol Classic Schenna 2023,37a Südtirol Classic Scena 2023
9E58BFC285DA11D7A2A6006008C7C6AD_REDUCED,73,73,82.0,lts,38. Sarner Dorflauf,38° Corsa podistica Val Sarentino
023B09FEC4E34CD58F3F9DAE128F1EC9_REDUCED,74,109,83.0,lts,3D Bogenschießen,3D Tiro con l’arco
0E603EE89EAB4AEEBC33FEE8DE26E52C_REDUCED,75,110,84.0,lts,3D Bogenschießen für Groß und Klein,3D Tiro con l'arco per adulti e bambini
63F4DF2C16CB4320A4AFE37C295AF15D_REDUCED,76,111,85.0,lts,3-Länder-Enduro-Bike-Race,Enduro-Bike-Race delle 3 Nazioni
3B4CF7CD0F25493FB9D32DF1C083AC2A_REDUCED,77,112,87.0,lts,3 Zinnen Schlagermove Parties im Grand Hotel,3 Zinnen Schlagermove Party al Grand Hotel
2806C02B6F964BFBAAEB9B7CDB3F9EA7_REDUCED,78,46,87.0,lts,3 Zinnen Schlagermove Ski&Sun Partyweek,3 Zinnen Schlagermove Party al Grand Hotel
02FCFF6E49D3478ABEB5A0B28AFE55F6_REDUCED,79,113,88.0,lts,40. Gustav Mahler Musikwochen,40° Settimane Musicali Gustav Mahler
94396A308CE74A16A77DC7E4833AE18F_REDUCED,80,80,89.0,lts,40 Jahre Jubiläumsausstellung Schafzuchtverein Passeier in St. Martin,
5C4F708C5B5740D6B2A6DB4A5D6919D3_REDUCED,81,81,57.0,lts,41. Toblacher Nachtlauf,41° Marcia Notturna
1FC5A2ECA6A14AF2B259F529D46FE41F_REDUCED,82,114,90.0,lts,41. Volkslanglauf Toblach-Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating,41°Gran Fondo Dobbiaco - Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating
6D2C08F628F3453C87C25FCB2625A10F_REDUCED,83,83,91.0,lts,43. Festkonzert der Musikkapelle Kortsch,43° concerto della banda musicale di Corzes
398AAACC7943414E86A866B5ABB8281A_REDUCED,84,84,92.0,lts,44. Leiferer Fasching,44° Carnevale di Laives
459596AF0A394120A05977EB2626654D_REDUCED,85,85,57.0,lts,46. Toblacher Nachtlauf,46a. Marcia Notturna
